folio,carbono_arboles_tpha,date_distance,measurement_date,veg_type_id,veg_type,type_code,ecosystem,num_pixels,num_masked_pixels,elev_mean,slope_mean,vcf_mean,hh_mean,hv_mean,lsmask_mean,lsmask_min,lsmask_max,num_images
54716,39.9979140359929328,-738,2005-09-21,26,Selva mediana subperennifolia,THF,Selvas,57.0000000000000000,57.0000000000000000,20.4385964912280700,2.2456140350877190,81.5087719298245600,0.07503202418737662000,0.02347931305585535000,0.00000000000000000000,0,0,1
64600,4.9389222133621027,-577,2006-03-01,27,Selva baja caducifolia,TDF,Selvas,18.0000000000000000,18.0000000000000000,778.1666666666666000,39.0555555555555600,32.3333333333333360,0.07956809778021370000,0.02522723291154394000,0.00000000000000000000,0,0,1
66084,53.3316944822302484,-1063,2004-10-31,38,Bosque de encino,BF,Bosques,179.0000000000000000,179.0000000000000000,1972.7206703910615000,16.5363128491620120,50.3910614525139660,0.11657973548570673000,0.03625686537228641600,0.00000000000000000000,0,0,1
59863,2.1519658520568507,-718,2005-10-11,36,Bosque de pino,CF,Bosques,126.0000000000000000,126.0000000000000000,3024.1746031746034000,16.3809523809523800,42.5158730158730200,0.10679508407625520000,0.02888341217347326800,0.00000000000000000000,0,0,1
50014,6.6086503119283268,-941,2005-03-02,27,Selva baja caducifolia,TDF,Selvas,313.0000000000000000,313.0000000000000000,8.3354632587859430,0.81789137380191690000,43.9936102236421700,0.07085129741927158000,0.02110428572923680000,0.00000000000000000000,0,0,1
9295,1.2712170989883828,-783,2005-08-07,39,Bosque de encino-pino,CBF,Bosques,68.0000000000000000,68.0000000000000000,2248.9705882352940000,48.9411764705882300,29.4852941176470580,0.06476131004372106000,0.01757243598459023000,0.00000000000000000000,0,0,1
73685,25.7846373031880795,-870,2005-05-12,38,Bosque de encino,BF,Bosques,92.0000000000000000,92.0000000000000000,854.9258064516129500,16.3008064516129040,46.5690860215053730,0.19190026796883449500,0.04982023122773754300,0.00000000000000000000,0,0,2
23037,24.9403229669934487,-975,2005-01-27,36,Bosque de pino,CF,Bosques,35.6666666666666667,35.6666666666666667,2396.2331291190939333,8.3527800983941337,28.6891766453169967,0.12714691652413987467,0.02788415471827223333,0.00000000000000000000,0,0,3
72418,28.1385173163219038,-872,2005-05-10,37,Bosque de pino-encino,CBF,Bosques,242.0000000000000000,242.0000000000000000,911.9090909090909000,9.0041322314049600,32.2727272727272700,0.12702352255982896000,0.03413228243461407400,0.00000000000000000000,0,0,1
33149,24.0487585096236534,959,2010-05-15,38,Bosque de encino,BF,Bosques,15.0000000000000000,15.0000000000000000,782.2000000000000000,38.4000000000000000,46.4000000000000000,0.10181594157984257000,0.02201434147792681600,0.00000000000000000000,0,0,1
19045,19.2463847897806339,653,2009-07-13,39,Bosque de encino-pino,CBF,Bosques,329.0000000000000000,329.0000000000000000,2334.4589665653493000,11.7568389057750760,22.1367781155015200,0.07781333265403834000,0.02206983430358599300,0.00000000000000000000,0,0,1
39581,5.1048540112888347,-655,2005-12-13,39,Bosque de encino-pino,CBF,Bosques,30.0000000000000000,30.0000000000000000,2141.2666666666670000,68.8666666666666600,38.1000000000000000,0.03905337833520539000,0.01139456173880454800,0.00000000000000000000,0,0,1
55431,4.0671617493003111,-897,2005-04-15,25,Selva mediana subcaducifolia,TDF,Selvas,61.0000000000000000,61.0000000000000000,20.4918032786885260,2.7868852459016393,77.1311475409836000,0.05532106155422432000,0.01514387412390795300,0.00000000000000000000,0,0,1
57547,20.5300591334803071,-156,2007-04-26,37,Bosque de pino-encino,CBF,Bosques,70.0000000000000000,70.0000000000000000,2668.3428571428570000,38.1571428571428600,28.6000000000000000,0.09913719572630703000,0.03376667829200353000,0.00000000000000000000,0,0,1
64807,51.6094051315727755,-385,2006-09-09,26,Selva mediana subperennifolia,THF,Selvas,661.0000000000000000,661.0000000000000000,71.2284417549167900,2.6671709531013614,77.6202723146747400,0.09121128184179948000,0.02989377232430413500,0.00000000000000000000,0,0,1
23503,15.7678861109808152,-812,2005-07-09,36,Bosque de pino,CF,Bosques,60.0000000000000000,60.0000000000000000,2433.8333333333335000,17.0333333333333350,33.7333333333333340,0.06876770116760897000,0.02010508906404137200,0.00000000000000000000,0,0,1
72402,27.4193989086417437,860,2010-02-05,38,Bosque de encino,BF,Bosques,171.5000000000000000,171.5000000000000000,863.2569044879171000,29.2473628691983120,54.4857594936708870,0.14179216494698869000,0.02775812037788711150,0.00000000000000000000,0,0,2
23977,15.3565807652016198,-849,2005-06-02,36,Bosque de pino,CF,Bosques,42.0000000000000000,42.0000000000000000,2354.3333333333335000,18.1428571428571420,13.4761904761904760,0.15831089534572612000,0.03725612199212241500,0.00000000000000000000,0,0,1
73111,44.3032720734243320,-52,2007-08-08,38,Bosque de encino,BF,Bosques,13.0000000000000000,13.0000000000000000,2016.8461538461538000,43.3846153846153900,41.2307692307692300,0.13442740552844800000,0.03012858559259028200,0.00000000000000000000,0,0,1
69049,29.1695576715605798,-853,2005-05-29,37,Bosque de pino-encino,CBF,Bosques,376.0000000000000000,376.0000000000000000,2216.1569148936170000,44.4946808510638260,50.7659574468085140,0.14683429806322730000,0.04509227622254184000,0.00000000000000000000,0,0,1
57637,9.1208475694607314,-772,2005-08-18,29,Selva baja subperennifolia,THF,Selvas,183.5000000000000000,183.5000000000000000,30.8854700854700825,2.4251831501831500,54.4127899877899850,0.07322572329834590000,0.01677377629612008400,0.00000000000000000000,0,0,2
47443,12.6892748565442407,-51,2007-08-09,38,Bosque de encino,BF,Bosques,200.0000000000000000,200.0000000000000000,2428.8850000000000000,13.2750000000000000,22.3050000000000000,0.11827780994925768000,0.02750206445341319200,0.00000000000000000000,0,0,1
